playerID,OVERALL_ALL_TIME
abrossv01w,5.7
adamsjo01w,2.0
aguilel01w,1.4
ajavoma01w,3.9
aldrima01w,1.5
alhalta01w,1.6
allench01w,1.1
amachma01w,1.2
ambermo01w,1.0
anderam01w,1.2
anderch01w,2.2
anderjo01w,2.9
anderke01w,1.7
andrame01w,3.6
anosini01w,7.6
arcaija01w,6.5
askamma01w,3.0
atkinla01w,2.5
atunrmo01w,2.5
augusse01w,7.9
aycocan01w,1.0
azizle01w,1.6
azzije01w,6.5
badertr01w,1.3
bakersh01w,3.0
balesal01w,3.6
banchrh01w,1.0
baranel01w,8.2
barksla01w,1.9
barnead01w,2.3
barnequ01w,2.9
batkosu01w,4.1
batteja01w,1.2
battlas01w,3.0
bauerca01w,1.5
beardal01w,8.2
beckki01w,1.1
bennije01w,1.0
berezva01w,1.0
berthlu01w,1.4
beviltu01w,4.4
bibbyje01w,1.1
bibrzag01w,4.7
birdsu01w,7.3
bjorkte01w,1.0
blackde01w,4.2
blodgci01w,1.5
blueni01w,2.8
blueoc01w,1.2
bobbish01w,4.2
boltoru01w,4.6
bondla01w,2.9
bonfisu01w,2.3
bowenli01w,1.0
boydca01w,2.1
braxtka01w,4.2
brazian01w,2.4
bristre01w,1.0
brogami01w,5.1
brondsa01w,5.0
brownco01w,2.4
browned01w,3.4
brownki01w,1.9
brownru01w,4.2
brumfma01w,1.9
brungje01w,1.3
brunsre01w,5.6
bullevi01w,7.9
burgean01w,4.4
burgeli01w,2.0
burraal01w,2.9
burseja01w,4.2
buttsta01w,2.4
byearla01w,2.9
campbed01w,3.5
campbmi01w,1.0
cantydo01w,4.7
careyja01w,2.2
carsoes01w,4.0
carteam01w,1.4
cashsw01w,7.1
cassija01w,1.7
castriz01w,4.0
catchta01w,9.4
caufila01w,1.3
chambco01w,1.0
chanequ01w,2.1
chapmji01w,1.2
choneka01w,1.1
chriska01w,2.0
chrissh01w,6.2
clearmi01w,2.6
clinest01w,1.6
coggicl01w,1.5
cokermo01w,1.2
colemco01w,1.2
colleka01w,2.8
consuca01w,1.0
coopeca01w,1.4
coopecy01w,6.4
crawlsy01w,5.3
crockda01w,1.1
crockwi01w,1.0
cronika01w,1.5
cunnibe01w,1.7
cunnida01w,1.0
currimo01w,5.8
curryed01w,1.5
dalesst01w,5.0
daleygr01w,1.8
darlihe01w,4.3
davenje01w,3.0
davisbr01w,1.6
davisde01w,1.2
deforan01w,6.2
derevje01w,1.9
desouer01w,3.1
dickeke01w,2.4
dillata01w,1.3
dixonta01w,5.5
donapbe01w,2.1
doronsh01w,1.0
dossaci01w,3.2
douglka01w,6.9
duffyme01w,1.6
dupreca01w,8.6
dydekma01w,6.9
edwarmi01w,2.0
edwarsi01w,3.4
edwarte01w,5.4
edwarto01w,3.6
elysh01w,2.3
enissh01w,3.7
erbsu01w,2.0
fallotr01w,5.2
farriba01w,2.8
feastal01w,4.9
feifesu01w,1.2
ferdima01w,5.8
fernama01w,5.6
ferrama01w,1.3
figgsuk01w,5.6
firsool01w,1.0
floremi01w,2.7
flukety01w,1.8
folklkr01w,5.6
fordch01w,7.7
fordki01w,2.4
fordst01w,1.0
fowlesy01w,6.7
francde01w,1.0
frankaq01w,2.2
fresest01w,1.9
frettla01w,2.2
friertr01w,1.0
frohlli01w,1.5
futreca01w,1.4
gaithka01w,1.1
garcibe01w,1.2
gardike01w,3.9
gardnan01w,1.6
garnean01w,3.3
gaydeco01w,1.0
gearlka01w,2.9
gibsoke01w,1.6
gilloje01w,5.4
gilmous01w,1.0
gisseka01w,1.0
givench01w,1.0
gomisem01w,1.0
goodsad01w,5.3
goringi01w,2.1
gortmsh01w,1.9
granter01w,1.8
grecomi01w,1.2
greenci01w,1.0
grginve01w,1.4
griffyo01w,7.9
groomla01w,2.7
grubigo01w,3.1
grudasa01w,4.1
hairska01w,1.4
hallam01w,1.2
hallvi01w,2.2
hammobe01w,6.3
hamzoro01w,1.0
hardili01w,5.2
harpela01w,3.9
harrido01w,1.1
harrili01w,4.1
harrokr01w,3.4
haydeva01w,4.1
haynikr01w,3.3
headde01w,1.4
hendene01w,1.4
hendetr01w,1.1
henniso01w,3.1
herriam01w,2.4
hibbeka01w,1.9
hicksje01w,2.7
hillec01w,1.2
hledeko01w,3.3
hodgedo01w,2.3
hodgero01w,2.8
hoffmeb01w,4.4
holdsch01w,8.5
hollake01w,5.0
holmejo01w,2.1
holmese01w,2.0
holtam01w,4.5
hopeky01w,1.0
hornbal01w,5.9
houstch01w,4.8
humphta01w,4.1
irvinsa01w,2.0
ivanyda01w,2.4
iveyni01w,2.5
jacksde01w,3.2
jacksgw01w,2.8
jacksla01w,9.7
jacksta01w,2.5
jacksta02w,3.7
jacksti02w,4.3
jacobam01w,2.8
jamesta01w,2.3
joensca01w,2.8
johnsad01w,4.0
johnsch01w,1.0
johnsja01w,1.4
johnsla01w,1.8
johnsni01w,2.1
johnspo01w,2.2
johnssh01w,6.6
johnste01w,4.9
johnsti01w,4.0
johnsvi01w,6.5
jonesas01w,5.6
jonesch01w,3.0
jonesja01w,1.7
jonesla01w,1.1
jonesme01w,5.4
kellycr01w,4.0
kingbsu01w,1.0
kingija01w,2.1
klimezu01w,1.0
koehnla01w,1.6
korstil01w,1.1
kostaan01w,1.7
kostita01w,1.1
kraayca01w,5.6
kubikni01w,1.3
lacyje01w,2.4
lacyve01w,1.5
lambesh01w,2.3
lambmo01w,1.7
langhcr01w,3.2
larkier01w,2.9
lassiam01w,3.9
lattaiv01w,4.2
lawsoed01w,1.6
lawsoka01w,5.5
lazicka01w,1.0
lennobe01w,5.9
leslili01w,9.9
leuchye01w,1.2
levanni01w,1.1
lewista01w,1.1
lewisty01w,2.2
liebena01w,1.2
littlca01w,3.9
lloydan01w,3.5
lobore01w,1.7
lovelst01w,2.7
luckepa01w,2.1
luzhe01w,2.9
lyttlsa01w,4.2
mabikmw01w,6.1
macchla01w,2.7
machacl01w,2.9
mahonme01w,1.7
mahonsh01w,1.2
maigaha01w,3.2
malcona01w,3.4
malloso01w,1.7
maltsev01w,3.8
mannish01w,3.0
mannkr01w,3.1
mapprh01w,3.8
marcimi01w,3.0
martima01w,2.8
martinu01w,1.0
mascira01w,2.2
matteca01w,1.0
maxwemo01w,3.8
mazzake01w,3.4
mccaibr01w,2.4
mccaiti01w,1.7
mccarja01w,4.8
mccarst01w,4.2
mcconsu01w,4.8
mccrani01w,3.5
mccrini01w,2.4
mcculda01w,1.9
mcgheca01w,1.5
mckivte01w,2.2
mcwilta01w,7.7
melvich01w,6.1
mendigi01w,1.2
miaomi01w,1.4
milleco01w,3.7
milleke01w,5.0
millsta01w,1.7
miltode01w,7.5
mitchle01w,3.5
moeggli01w,1.6
moisead01w,2.9
mooreja01w,1.3
mooreje01w,2.0
moorelo01w,5.4
moorena01w,1.3
mooreta01w,2.8
moosca01w,1.1
mosbybe01w,2.1
moweje01w,1.3
mulitna01w,2.1
murphsh01w,1.8
nagyan01w,3.1
ndiayas01w,3.3
ndongem01w,1.6
nemcoev01w,4.2
nevescl01w,2.8
newtoch01w,3.6
ngarsch01w,1.2
ngoyibe01w,2.4
nieuwma01w,1.0
nnamach01w,1.0
nolande01w,7.2
nygaava01w,2.6
ogayu01w,1.5
ohldeni01w,6.0
oneilkr01w,1.0
osipoir01w,1.4
owenhe01w,1.0
owenssh01w,2.0
pageda01w,1.0
pagemu01w,4.4
paigeyo01w,1.2
paliesa01w,1.0
palmewe01w,5.3
parkeca01w,10.0
pascafl01w,1.0
pavlimi01w,1.0
payeka01w,2.4
penicti01w,6.7
pennjo01w,1.6
perkiji01w,4.9
pettibr01w,2.4
philler01w,3.2
phillta01w,5.0
pierspl01w,4.7
pondeca01w,7.2
potthan01w,1.0
powelel01w,4.1
powelni01w,6.3
pricear01w,5.4
pridely01w,2.6
pringla01w,4.1
queenbr01w,1.0
quiglal01w,1.1
quinnno01w,4.1
quinnte01w,1.2
radunha01w,1.1
raglafe01w,2.0
randase01w,3.2
rasmukr01w,3.5
raymost01w,2.0
reddja01w,3.0
reedbr01w,4.5
reidtr01w,2.5
rileyru01w,6.1
rizzoje01w,3.2
robinas01w,2.5
robincr01w,5.4
robinre01w,1.1
rolanja01w,1.3
rossad01w,1.0
rushle01w,1.0
salesny01w,7.4
sampsch01w,2.7
samsh01w,6.0
sanchis01w,1.2
sandeam01w,1.0
sanfona01w,4.0
sanniol01w,2.2
santoal01w,1.0
santoke01w,1.9
sarenra01w,1.5
sauerpa01w,1.2
saundja01w,2.0
saureau01w,2.2
schumke01w,3.7
schwege01w,2.2
scottol01w,2.7
shakiel01w,1.5
sharpkb01w,2.1
shielas01w,1.5
slaisma01w,1.0
slauggw01w,1.1
slavtge01w,1.0
smithai01w,2.8
smithbr01w,2.6
smithch02w,4.1
smithch03w,2.1
smithcr01w,2.5
smithje01w,1.0
smithka01w,6.8
smithki01w,1.3
smithla01w,1.0
smithta01w,7.5
smithty01w,1.0
smithwa01w,1.0
snellbe01w,2.3
snowmi01w,6.7
spencsi01w,4.3
spornra01w,1.9
stafftr01w,1.8
staleda01w,5.8
stansti01w,2.4
starbka01w,2.2
stedika01w,2.5
stepama01w,5.6
stephst01w,1.0
stevema01w,1.4
stileja01w,4.6
stinsan01w,6.1
stiresh01w,1.4
stockta01w,1.0
streiju01w,4.5
strotan01w,1.3
summela01w,1.4
sun-mju01w,1.1
suttota01w,6.5
swanike01w,1.9
swoopsh01w,8.2
tateso01w,1.6
tauradi01w,8.2
tayloli01w,1.1
taylope01w,7.0
teaslni01w,6.5
teilaza01w,1.3
terryka01w,1.6
thomaca01w,1.5
thomach01w,3.7
thomala01w,3.8
thomast01w,2.4
thompal01w,3.1
thompti01w,8.3
thorbsh01w,1.1
thorner01w,2.6
threaro01w,3.0
tilliic01w,1.4
timmsmi01w,3.8
torniel01w,5.4
torrele01w,1.0
traviti01w,3.6
tremich01w,2.2
turneba01w,3.9
tuvicsl01w,3.2
udokamf01w,1.4
ujhelpe01w,1.0
umoh-it01w,1.0
valdeam01w,1.9
vangomi01w,2.0
vaughkr01w,1.1
vealkr01w,3.5
vilipda01w,1.4
vodicka01w,5.2
vodopna01w,1.2
walkeay01w,2.2
walkede01w,4.3
walkema01w,1.3
walsema01w,1.0
washico01w,3.8
washito01w,1.5
wautean01w,6.0
weathte01w,5.1
webbum01w,2.1
weberma01w,1.0
weckeke01w,1.8
whaleli01w,7.4
whitede01w,2.0
whiteer01w,2.7
whiteta01w,4.9
whitiva01w,2.6
whitmta01w,5.6
whittje01w,1.0
whittkh01w,2.0
wickssu01w,4.5
widemja01w,1.0
wiggica01w,6.0
wilkibr01w,1.0
williad01w,3.9
willian01w,1.7
willibe01w,1.0
willile01w,2.4
willile02w,1.5
willili01w,2.4
willina01w,7.0
williri01w,4.6
willish01w,1.5
willita01w,1.7
willito01w,3.0
williwe01w,1.0
wilsoam01w,1.0
witheso01w,4.4
wolteka01w,3.7
wolvean01w,1.0
wrighsh01w,2.2
wrighta01w,3.5
wyckobr01w,3.7
wynneda01w,1.0
yamasli01w,1.4
yilmane01w,1.4
youngca01w,2.2
youngso01w,8.0
youngta01w,4.6
zakalok01w,1.5
zarafr01w,2.4
zirkozu01w,1.1
zollsh01w,1.2
